regex to match day + hour + height 
^ \| ([0-9]*) ([0-9]*) \| ([0-9]*\.[0-9]*)

Location : 46232      (32.53N 117.42W)
  Model    : spectral resolution for points
  Cycle    : 20200515 18 UTC
 +-------+-----------+-----------------+-----------------+-----------------+-----------------+-----------------+-----------------+
 | day & |  Hst  n x |    Hs   Tp  dir |    Hs   Tp  dir |    Hs   Tp  dir |    Hs   Tp  dir |    Hs   Tp  dir |    Hs   Tp  dir |
 |  hour |  (m)  - - |    (m)  (s) (d) |    (m)  (s) (d) |    (m)  (s) (d) |    (m)  (s) (d) |    (m)  (s) (d) |    (m)  (s) (d) |
 +-------+-----------+-----------------+-----------------+-----------------+-----------------+-----------------+-----------------+
 | 20 18 | 1.50  4   |   1.26  8.4  99 |   0.18 17.9  13 |   0.46 11.2 107 |                 |   0.62 14.4  22 |                 |
 | 20 19 | 1.47  4   |   1.23  8.4  99 |   0.19 17.9  14 |   0.44 11.2 107 |                 |   0.61 14.4  22 |                 |
 | 20 20 | 1.44  4   |   1.20  8.4  98 |   0.19 17.9  15 |   0.45 10.9 109 |                 |   0.61 14.4  22 |                 |
 | 20 21 | 1.42  4   |   1.17  8.5  98 |   0.18 17.9  16 |   0.44 10.8 109 |                 |   0.61 14.4  22 |                 |
 | 20 22 | 1.40  4   |   1.15  8.5  98 |   0.18 17.9  16 |   0.42 10.8 109 |                 |   0.61 14.4  22 |                 |
 | 20 23 | 1.38  4   |   1.13  8.5  98 |   0.22 17.8  12 |   0.42 10.7 108 |                 |   0.60 14.4  22 |                 |
 | 21  0 | 1.37  4   |   1.11  8.5  98 |   0.27 17.6  11 |   0.44 10.6 106 |                 |   0.58 14.3  23 |                 |
 | 21  1 | 1.36  4   |   1.08  8.6  98 |   0.28 17.5  13 |   0.47 10.5 106 |                 |   0.57 14.3  22 |                 |
 | 21  2 | 1.35  4   |   1.08  8.6  99 |   0.31 17.1  13 |   0.46 10.5 106 |                 |   0.56 14.3  23 |                 |
 | 21  3 | 1.35  3   |   1.17  8.6 100 |   0.32 16.9  14 |                 |                 |   0.55 14.3  23 |                 |
 | 21  4 | 1.34  3   |   1.17  8.6  99 |   0.32 16.8  14 |                 |                 |   0.55 14.2  23 |                 |
 | 21  5 | 1.35  3   |   1.17  8.6  99 |   0.32 16.7  13 |                 |                 |   0.55 14.2  22 |                 |
 | 21  6 | 1.35  4   |   1.18  8.5  99 |   0.32 16.7  15 |   0.15 10.8 355 |                 |   0.54 14.2  22 |                 |
 | 21  7 | 1.36  4   |   1.19  8.4  98 |   0.33 16.7  14 |   0.15 10.8 354 |                 |   0.54 14.1  22 |                 |
 | 21  8 | 1.38  4   |   1.22  8.2  98 |   0.33 16.7  14 |   0.15 10.8 354 |                 |   0.53 14.1  22 |                 |
 | 21  9 | 1.41  4   |   1.25  8.2  98 |   0.34 16.6  14 |   0.15 10.7 354 |                 |   0.52 13.9  22 |                 |
 | 21 10 | 1.45  4   |   1.30  8.2  98 |   0.26 16.8  13 |   0.15 10.6 354 |                 |   0.56 13.8  21 |                 |
 | 21 11 | 1.48  4   |   1.34  8.3  98 |   0.33 16.6  15 |   0.15 10.5 354 |                 |   0.52 13.7  21 |                 |
 | 21 12 | 1.51  4   |   1.37  8.3  99 |   0.37 16.4  15 |   0.15 10.4 353 |                 |   0.49 13.6  21 |                 |
 | 21 13 | 1.53  4   |   1.39  8.3 100 |   0.36 16.5  14 |   0.15 10.3 353 |                 |   0.50 13.6  21 |                 |
 | 21 14 | 1.53  4   |   1.38  8.2 100 |   0.45 16.1  15 |   0.15 10.3 353 |                 |   0.42 13.4  23 |                 |
 | 21 15 | 1.51  4   |   1.37  8.2 100 |   0.44 15.9  14 |   0.15 10.2 353 |                 |   0.44 13.4  23 |                 |
 | 21 16 | 1.49  3   |   1.35  8.2 100 |   0.44 15.7  14 |                 |                 |   0.44 13.4  22 |                 |
 | 21 17 | 1.48  3   |   1.33  8.2 100 |   0.43 15.7  15 |                 |                 |   0.45 13.4  22 |                 |
 | 21 18 | 1.46  3   |   1.31  8.1 100 |   0.44 15.7  15 |                 |                 |   0.45 13.4  21 |                 |
 | 21 19 | 1.45  3   |   1.29  8.1 100 |   0.44 15.6  15 |                 |                 |   0.45 13.4  21 |                 |
 | 21 20 | 1.43  3   |   1.27  8.1  99 |   0.44 15.6  15 |                 |                 |   0.45 13.4  21 |                 |
 | 21 21 | 1.43  3   |   1.26  8.1  98 |   0.45 15.6  15 |                 |                 |   0.45 13.4  21 |                 |
 | 21 22 | 1.42  3   |   1.25  8.0  97 |   0.45 15.5  15 |                 |                 |   0.45 13.4  21 |                 |
 | 21 23 | 1.41  2   |   1.24  8.0  97 |   0.64 15.4  18 |                 |                 |                 |                 |
 | 22  0 | 1.39  2   |   1.22  7.9  97 |   0.64 15.4  18 |                 |                 |                 |                 |
 | 22  1 | 1.38  2   |   1.21  7.9  96 |   0.64 15.3  18 |                 |                 |                 |                 |
